ligand;affinity;Check
output_site_O/ZINC000001999487.docked.pdbqt;-7.2;
output_site_O/ZINC000000057255.docked.pdbqt;-7.2;
output_site_O/ZINC000001489478.docked.pdbqt;-7.1;
output_site_O/ZINC000000020253.docked.pdbqt;-7.0;
output_site_O/ZINC000000121541.docked.pdbqt;-6.9;
output_site_O/ZINC000052716421.docked.pdbqt;-6.9;
output_site_O/ZINC000002510358.docked.pdbqt;-6.9;
output_site_O/ZINC000000527386.docked.pdbqt;-6.7;
output_site_O/ZINC000000608382.docked.pdbqt;-6.7;
output_site_O/ZINC000013520815.docked.pdbqt;-6.7;
output_site_O/ZINC000022116608.docked.pdbqt;-6.6;
output_site_O/ZINC000001530788.docked.pdbqt;-6.6;
output_site_O/ZINC000000004448.docked.pdbqt;-6.6;
output_site_O/ZINC000003812865.docked.pdbqt;-6.6;
output_site_O/ZINC000003881958.docked.pdbqt;-6.5;
output_site_O/ZINC000095616600.docked.pdbqt;-6.5;
output_site_O/ZINC000004097467.docked.pdbqt;-6.5;
output_site_O/ZINC000084589076.docked.pdbqt;-6.5;
output_site_O/ZINC000003782818.docked.pdbqt;-6.5;
output_site_O/ZINC000000001016.docked.pdbqt;-6.5;
output_site_O/ZINC000000006157.docked.pdbqt;-6.5;
output_site_O/ZINC000000018635.docked.pdbqt;-6.5;
output_site_O/ZINC000096006009.docked.pdbqt;-6.5;
output_site_O/ZINC000003812897.docked.pdbqt;-6.5;
output_site_O/ZINC000000004785.docked.pdbqt;-6.5;
output_site_O/ZINC000001996117.docked.pdbqt;-6.5;
output_site_O/ZINC000095616599.docked.pdbqt;-6.5;
output_site_O/ZINC000000607986.docked.pdbqt;-6.4;
output_site_O/ZINC000019632834.docked.pdbqt;-6.4;
output_site_O/ZINC000003795819.docked.pdbqt;-6.4;
output_site_O/ZINC000007997897.docked.pdbqt;-6.4;
output_site_O/ZINC000004213946.docked.pdbqt;-6.4;
output_site_O/ZINC000003812944.docked.pdbqt;-6.4;
output_site_O/ZINC000410428674.docked.pdbqt;-6.4;
output_site_O/ZINC000100018854.docked.pdbqt;-6.4;
output_site_O/ZINC000000000347.docked.pdbqt;-6.4;
output_site_O/ZINC000004099200.docked.pdbqt;-6.4;
output_site_O/ZINC000000004840.docked.pdbqt;-6.4;
output_site_O/ZINC000035801098.docked.pdbqt;-6.4;
output_site_O/ZINC000000004319.docked.pdbqt;-6.4;
output_site_O/ZINC000000000903.docked.pdbqt;-6.4;
output_site_O/ZINC000000057278.docked.pdbqt;-6.4;
output_site_O/ZINC000053084692.docked.pdbqt;-6.4;
output_site_O/ZINC000000403566.docked.pdbqt;-6.4;
output_site_O/ZINC000000089763.docked.pdbqt;-6.3;
output_site_O/ZINC000000006310.docked.pdbqt;-6.3;
output_site_O/ZINC000004392649.docked.pdbqt;-6.3;
output_site_O/ZINC000000643114.docked.pdbqt;-6.3;
output_site_O/ZINC000001530975.docked.pdbqt;-6.3;
output_site_O/ZINC000013537284.docked.pdbqt;-6.3;
output_site_O/ZINC000001550499.docked.pdbqt;-6.3;
output_site_O/ZINC000003800008.docked.pdbqt;-6.3;
output_site_O/ZINC000000003911.docked.pdbqt;-6.3;
output_site_O/ZINC000004693575.docked.pdbqt;-6.3;
output_site_O/ZINC000000403011.docked.pdbqt;-6.3;
output_site_O/ZINC000000008667.docked.pdbqt;-6.3;
output_site_O/ZINC000004212851.docked.pdbqt;-6.3;
output_site_O/ZINC000003814422.docked.pdbqt;-6.3;
output_site_O/ZINC000001999441.docked.pdbqt;-6.3;
output_site_O/ZINC000003807917.docked.pdbqt;-6.3;
output_site_O/ZINC000013512456.docked.pdbqt;-6.3;
