ligand,affinity
ZINC000066166864,-9.2
ZINC000003932831,-8.7
ZINC000006716957,-8.2
ZINC000003816514,-8.1
ZINC000169289767,-8.1
ZINC000011681563,-8
ZINC000013520815,-8
ZINC000003782599,-7.9
ZINC000003978005,-7.8
ZINC000004097467,-7.8
ZINC000011679756,-7.8
ZINC000014261579,-7.8
ZINC000001542113,-7.7
ZINC000001550477,-7.7
ZINC000001612996,-7.7
ZINC000003797541,-7.7
ZINC000019632618,-7.7
ZINC000049036447,-7.7
ZINC000052955754,-7.7
ZINC000084668739,-7.7
ZINC000003876186,-7.6
ZINC000003881958,-7.6
ZINC000008101127,-7.6
ZINC000040430143,-7.6
ZINC000000896717,-7.5
ZINC000000897089,-7.5
ZINC000000968375,-7.5
ZINC000003993855,-7.5
ZINC000004213946,-7.5
ZINC000005844792,-7.5
ZINC000006745272,-7.5
ZINC000026664090,-7.5
ZINC000064033452,-7.5
ZINC000072318121,-7.5
ZINC000100378061,-7.5
ZINC000116473771,-7.5
ZINC000148723177,-7.5
ZINC000164760756,-7.5
ZINC000001999441,-7.4
ZINC000003812897,-7.4
ZINC000003831151,-7.4
ZINC000003915154,-7.4
ZINC000012503187,-7.4
ZINC000026985532,-7.4
ZINC000027990463,-7.4
ZINC000029416466,-7.4
ZINC000049637509,-7.4
ZINC000000537964,-7.3
ZINC000000601317,-7.3
ZINC000000602632,-7.3
ZINC000000643143,-7.3
ZINC000000897085,-7.3
ZINC000003784182,-7.3
ZINC000003927200,-7.3
ZINC000003973334,-7.3
ZINC000022448696,-7.3
ZINC000035801098,-7.3
ZINC000043100709,-7.3
ZINC000052716421,-7.3
ZINC000085205451,-7.3
ZINC000222731806,-7.3
ZINC000000537791,-7.2
ZINC000000537822,-7.2
ZINC000000607986,-7.2
ZINC000001530886,-7.2
ZINC000003786192,-7.2
ZINC000003814422,-7.2
ZINC000003816292,-7.2
ZINC000003874185,-7.2
ZINC000003927822,-7.2
ZINC000003951740,-7.2
ZINC000004097305,-7.2
ZINC000004175630,-7.2
ZINC000004212809,-7.2
ZINC000004212851,-7.2
ZINC000004475353,-7.2
ZINC000005029557,-7.2
ZINC000005844788,-7.2
ZINC000008220909,-7.2
ZINC000036701290,-7.2
ZINC000100016058,-7.2
ZINC000100017856,-7.2
ZINC000100022637,-7.2
ZINC000100070954,-7.2
ZINC000118912450,-7.2
ZINC000000000509,-7.1
ZINC000000004448,-7.1
ZINC000000538312,-7.1
ZINC000000538658,-7.1
ZINC000000601229,-7.1
ZINC000000897240,-7.1
ZINC000000968264,-7.1
ZINC000001481815,-7.1
ZINC000001493878,-7.1
ZINC000001999487,-7.1
ZINC000002032615,-7.1
ZINC000003807917,-7.1
ZINC000003816287,-7.1
ZINC000003876023,-7.1
ZINC000003876136,-7.1
ZINC000003938686,-7.1
ZINC000003945984,-7.1
ZINC000004214700,-7.1
ZINC000004474460,-7.1
ZINC000004641374,-7.1
ZINC000005752191,-7.1
ZINC000043206370,-7.1
ZINC000060325170,-7.1
ZINC000084758479,-7.1
ZINC000245204949,-7.1
ZINC000000537931,-7
ZINC000000643153,-7
ZINC000001550499,-7
ZINC000003814395,-7
ZINC000003830842,-7
ZINC000003875560,-7
ZINC000003881640,-7
ZINC000003914596,-7
ZINC000003921872,-7
ZINC000003936683,-7
ZINC000003938751,-7
ZINC000003939013,-7
ZINC000004099009,-7
ZINC000004428529,-7
ZINC000011616882,-7
ZINC000011617039,-7
ZINC000011680067,-7
ZINC000011726211,-7
ZINC000034806477,-7
ZINC000035328014,-7
ZINC000053683151,-7
ZINC000068202099,-7
ZINC000068204830,-7
ZINC000118912393,-7
ZINC000169621200,-7
ZINC000169621220,-7
ZINC000000004351,-6.9
ZINC000000004893,-6.9
ZINC000000018635,-6.9
ZINC000000075126,-6.9
ZINC000000402954,-6.9
ZINC000000537805,-6.9
ZINC000000538275,-6.9
ZINC000001481956,-6.9
ZINC000001530975,-6.9
ZINC000001538857,-6.9
ZINC000001850377,-6.9
ZINC000001853550,-6.9
ZINC000003795819,-6.9
ZINC000003815424,-6.9
ZINC000003823475,-6.9
ZINC000003872931,-6.9
ZINC000003875334,-6.9
ZINC000003875357,-6.9
ZINC000003875484,-6.9
ZINC000003938695,-6.9
ZINC000004097286,-6.9
ZINC000004097304,-6.9
ZINC000004097416,-6.9
ZINC000004474414,-6.9
ZINC000004629876,-6.9
ZINC000028639340,-6.9
ZINC000029571072,-6.9
ZINC000031274852,-6.9
ZINC000070466416,-6.9
ZINC000096903163,-6.9
ZINC000410428674,-6.9
ZINC000000001773,-6.8
ZINC000000002299,-6.8
ZINC000000006300,-6.8
ZINC000000007295,-6.8
ZINC000000009073,-6.8
ZINC000000025958,-6.8
ZINC000000389747,-6.8
ZINC000000403010,-6.8
ZINC000000403566,-6.8
ZINC000000968310,-6.8
ZINC000001485935,-6.8
ZINC000001530625,-6.8
ZINC000001530977,-6.8
ZINC000001850374,-6.8
ZINC000002570895,-6.8
ZINC000003776633,-6.8
ZINC000003813047,-6.8
ZINC000003818726,-6.8
ZINC000003875483,-6.8
ZINC000003925861,-6.8
ZINC000003926298,-6.8
ZINC000003952881,-6.8
ZINC000003977777,-6.8
ZINC000003977981,-6.8
ZINC000004212854,-6.8
ZINC000006094354,-6.8
ZINC000011677376,-6.8
ZINC000011681534,-6.8
ZINC000019361042,-6.8
ZINC000019594557,-6.8
ZINC000019796155,-6.8
ZINC000019796158,-6.8
ZINC000030691797,-6.8
ZINC000035902489,-6.8
ZINC000036520252,-6.8
ZINC000043207238,-6.8
ZINC000052509366,-6.8
ZINC000072316335,-6.8
ZINC000094566093,-6.8
ZINC000095551509,-6.8
ZINC000095616937,-6.8
ZINC000098023177,-6.8
ZINC000100003902,-6.8
ZINC000100014909,-6.8
ZINC000100036924,-6.8
ZINC000118912517,-6.8
ZINC000000020243,-6.7
ZINC000000057522,-6.7
ZINC000000537928,-6.7
ZINC000000538065,-6.7
ZINC000000538550,-6.7
ZINC000000643138,-6.7
ZINC000000897222,-6.7
ZINC000001530788,-6.7
ZINC000001996117,-6.7
ZINC000003812988,-6.7
ZINC000003830716,-6.7
ZINC000003831128,-6.7
ZINC000003860453,-6.7
ZINC000003875332,-6.7
ZINC000003977978,-6.7
ZINC000003985982,-6.7
ZINC000004097308,-6.7
ZINC000011677837,-6.7
ZINC000013831130,-6.7
ZINC000013911941,-6.7
ZINC000014879972,-6.7
ZINC000016159083,-6.7
ZINC000018324776,-6.7
ZINC000018516586,-6.7
ZINC000019796168,-6.7
ZINC000053683345,-6.7
ZINC000058581064,-6.7
ZINC000068153186,-6.7
ZINC000084441937,-6.7
ZINC000100015048,-6.7
ZINC000000000323,-6.6
ZINC000000006157,-6.6
ZINC000000537891,-6.6
ZINC000000538273,-6.6
ZINC000000606383,-6.6
ZINC000000896543,-6.6
ZINC000001530638,-6.6
ZINC000001539579,-6.6
ZINC000001851149,-6.6
ZINC000001996784,-6.6
ZINC000002522669,-6.6
ZINC000003782818,-6.6
ZINC000003802417,-6.6
ZINC000003812865,-6.6
ZINC000003812989,-6.6
ZINC000003820029,-6.6
ZINC000003833821,-6.6
ZINC000003914808,-6.6
ZINC000003916214,-6.6
ZINC000003920266,-6.6
ZINC000003920657,-6.6
ZINC000003938482,-6.6
ZINC000003986735,-6.6
ZINC000004074875,-6.6
ZINC000005764759,-6.6
ZINC000013540519,-6.6
ZINC000016052277,-6.6
ZINC000034089131,-6.6
ZINC000034608502,-6.6
ZINC000053084692,-6.6
ZINC000094566092,-6.6
ZINC000095619105,-6.6
ZINC000150338698,-6.6
ZINC000000000655,-6.5
ZINC000000001148,-6.5
ZINC000000001261,-6.5
ZINC000000002688,-6.5
ZINC000000003876,-6.5
ZINC000000004319,-6.5
ZINC000000004785,-6.5
